ht,pot,mix,u,v,ws
2207.5,249.34,0.608,24.61,-14.38,28.50327174
2210.3,249.33,0.608,24.66,-14.29,28.50122278
2213.2,249.3,0.608,24.77,-14.3,28.60144926
2216,249.18,0.609,24.88,-14.31,28.70175082
2218.8,249.16,0.609,24.9,-14.26,28.69420847
2221.7,249.13,0.609,25.02,-14.27,28.80335571
2224.5,249.1,0.609,25.13,-14.27,28.89895846
2227.4,249.09,0.609,25.15,-14.23,28.89663302
2230.2,249.06,0.609,25.29,-14.19,28.99896895
2233.1,249.03,0.609,25.29,-14.19,28.99896895
2235.9,248.91,0.609,25.4,-14.2,29.09982818
2238.7,248.89,0.609,25.49,-14.25,29.20278411
2241.6,248.86,0.609,25.51,-14.2,29.19589183
2244.5,248.84,0.609,25.63,-14.2,29.30080033
2247.3,248.82,0.609,25.71,-14.25,29.39500978
2250.2,248.79,0.609,25.74,-14.21,29.4018996
2253.1,248.76,0.609,25.83,-14.26,29.50485553
2255.9,248.73,0.609,25.94,-14.26,29.60120268
2258.8,248.71,0.609,25.96,-14.21,29.5946904
2261.7,248.69,0.609,26.05,-14.26,29.69764469
