ht,pot,mix,u,v,ws,,ht_new,pot_new,mix_new,u_new,v_new,ws_new,,ht_smooth_new,pot_smooth_new,mix_smooth_new,u_smooth_new,v_smooth_new,ws_smooth_new,,Dir_1,Dir_2
564.3,276.18,2.911,9.72,-9.52,13.60546949,,564.3,276.18,2.911,9.01,-8.82,12.60546949,,564.3,276.18,2.911,9.01,-8.82,12.60546949,,0.774502444116977,2.34576860674208
568.1,276.15,2.911,9.75,-9.48,13.59900364,,568.1,276.15,2.911,9.03,-8.78,12.59900364,,568.1,276.15,2.911,9.03,-8.78,12.59900364,,0.771704101887416,2.34183495248285
571.9,276.12,2.911,9.78,-9.45,13.59966544,,571.9,276.12,2.911,9.06,-8.76,12.59966544,,571.9,276.12,2.911,9.06,-8.76,12.59966544,,0.768337917031848,2.33957310762973
575.6,275.98,2.912,9.82,-9.41,13.60075366,,575.6,275.98,2.912,9.1,-8.72,12.60075366,,575.6,275.98,2.912,9.1,-8.72,12.60075366,,0.763848947813568,2.33508280357766
579.4,275.95,2.912,9.83,-9.4,13.60106246,,579.4,275.95,2.912,9.11,-8.71,12.60106246,,579.4,275.95,2.912,9.11,-8.71,12.60106246,,0.762726590831091,2.33396057962853
583.2,275.91,2.912,9.87,-9.36,13.60244463,,583.2,275.91,2.912,9.14,-8.67,12.60244463,,583.2,275.91,2.912,9.14,-8.67,12.60244463,,0.759390007942755,2.32947315666257
587,275.78,2.913,9.9,-9.33,13.60363554,,587,275.78,2.913,9.17,-8.64,12.60363554,,587,275.78,2.913,9.17,-8.64,12.60363554,,0.756026298481368,2.32610919794503
590.8,275.74,2.913,9.93,-9.29,13.59812487,,590.8,275.74,2.913,9.2,-8.61,12.59812487,,590.8,275.74,2.913,9.2,-8.61,12.59812487,,0.75208303010577,2.32325412368161
594.5,275.71,2.913,9.96,-9.26,13.59960294,,594.5,275.71,2.913,9.23,-8.58,12.59960294,,594.5,275.71,2.913,9.23,-8.58,12.59960294,,0.748717060792379,2.3198879644434
598.2,275.57,2.914,9.99,-9.22,13.59442901,,598.2,275.57,2.914,9.26,-8.54,12.59442901,,598.2,275.57,2.914,9.26,-8.54,12.59442901,,0.744767194568433,2.31594022926446
601.8,275.53,2.914,10.03,-9.19,13.60356571,,601.8,275.53,2.914,9.29,-8.51,12.60356571,,601.8,275.53,2.914,9.29,-8.51,12.60356571,,0.74203775151314,2.31203992341803
605.5,275.5,2.914,10.04,-9.17,13.59744461,,605.5,275.5,2.914,9.3,-8.5,12.59744461,,605.5,275.5,2.914,9.3,-8.5,12.59744461,,0.740331546101167,2.31140871929476
609.2,275.37,2.915,10.07,-9.14,13.59943014,,609.2,275.37,2.915,9.33,-8.47,12.59943014,,609.2,275.37,2.915,9.33,-8.47,12.59943014,,0.73696788196104,2.3080436930444
612.8,275.33,2.915,10.11,-9.1,13.6022829,,612.8,275.33,2.915,9.37,-8.43,12.6022829,,612.8,275.33,2.915,9.37,-8.43,12.6022829,,0.732483281310179,2.30355988845507
616.5,275.29,2.915,10.14,-9.06,13.5979116,,616.5,275.29,2.915,9.39,-8.39,12.5979116,,616.5,275.29,2.915,9.39,-8.39,12.5979116,,0.729719190979592,2.29960765993907
620.2,275.16,2.916,10.17,-9.03,13.60036029,,620.2,275.16,2.916,9.42,-8.37,12.60036029,,620.2,275.16,2.916,9.42,-8.37,12.60036029,,0.72635878845718,2.29730873429039
623.8,275.13,2.916,10.2,-8.99,13.59632671,,623.8,275.13,2.916,9.45,-8.33,12.59632671,,623.8,275.13,2.916,9.45,-8.33,12.59632671,,0.722403524369504,2.29335202053412
627.5,274.99,2.917,10.22,-8.98,13.60473447,,627.5,274.99,2.917,9.47,-8.32,12.60473447,,627.5,274.99,2.917,9.47,-8.32,12.60473447,,0.72075906383844,2.29170751968631
631.2,274.96,2.918,10.25,-8.94,13.60095952,,631.2,274.96,2.918,9.5,-8.28,12.60095952,,631.2,274.96,2.918,9.5,-8.28,12.60095952,,0.716801621650108,2.28775192085661
634.8,274.91,2.918,10.25,-8.94,13.60095952,,634.8,274.91,2.918,9.5,-8.28,12.60095952,,634.8,274.91,2.918,9.5,-8.28,12.60095952,,0.716801621650108,2.28775192085661
638.5,274.78,2.919,10.25,-8.94,13.60095952,,638.5,274.78,2.919,9.5,-8.28,12.60095952,,638.5,274.78,2.919,9.5,-8.28,12.60095952,,0.716801621650108,2.28775192085661
